gene_name,TCGA-09-2044-01,TCGA-13-1505-01,TCGA-25-1319-01,TCGA-25-2397-01
PAK2,4.6955,4.0251,4.0189,3.9213
PAK3,-3.816,-2.2447,-6.5064,-2.3884
PAK4,5.2858,5.8344,4.9755,4.9887
PAK5,0.0,0.0,0.0,0.0
PAK6,1.0979,1.9676,1.48895,0.9711
PALS1,0.0,0.0,0.0,0.0
PARD3,4.2563,3.9108,4.2017,4.2281
PARD6A,2.8361,1.7702,0.346,1.4065
PARD6B,2.1862,2.2019,1.4962,2.2693
PARD6G,1.4335,1.9638,2.7889,0.8805
PATJ,0.0,0.0,0.0,0.0
PCK1,5.6829,-0.2845,1.787,2.0707
PCK2,5.7052,3.5436,2.8055,3.4907
PDCD1,0.0014,-1.0862,-1.2828,-0.8339
PDE10A,-2.9324,-1.3921,-3.6259,-4.035
PDE1A,3.9709,3.1749,0.9716,0.346
PDE1B,-0.2671,1.2934,0.9493,-1.2828
PDE1C,-2.7274,-2.9324,-3.3076,-0.394
PDE3A,3.4609,0.688,2.2931,-1.1488
PDE3B,-3.3076,-2.114,-3.1714,-3.6259
PDE4A,0.6608,2.0638,1.2085,1.7185
PDE4B,1.6187,0.1903,-0.3022,-0.1504
PDE4C,3.3003,-1.5951,-1.4699,3.0944
PDE4D,0.8408,0.3115,0.7321,0.1124
PDGFA,2.0147,3.6006,1.3225,4.5129
PDGFB,1.642,2.8219,2.5462,2.036
PDGFC,3.7836,4.7442,2.5972,2.3926
PDGFD,-0.3022,2.3308,0.4967,0.8883
PDGFRA,-0.5125,2.9747,0.5859,4.3378
PDGFRB,2.8955,4.0037,2.4306,1.2636
PDHA1,6.6802,5.0144,5.9442,6.0883
PDHA2,-9.9658,-9.9658,-9.9658,-9.9658
PDHB,5.6829,5.6988,5.6608,5.608
PDK1,3.5461,3.1939,3.7898,3.9108
PDPK1,1.5013,4.225,3.3869,2.2144
PERP,6.6417,5.2601,6.7673,7.3969
PF4,-4.2934,-2.9324,-9.9658,-2.9324
PF4V1,-9.9658,-9.9658,-9.9658,-2.1779
PFKFB1,-4.035,-2.9324,-5.5735,-5.5735
PFKFB2,1.4281,1.0711,1.5216,2.3135
PFKFB3,5.0144,4.4324,3.7867,4.3456
PFKFB4,2.0707,2.5876,2.9984,5.3133
PFKL,5.3306,5.9402,6.7491,7.0274
PFKM,4.1474,4.8059,5.5116,2.4198
PFKP,7.0793,5.0545,5.6519,6.7878
PFN1,10.0593,9.6735,8.7591,8.5883
PFN2,7.417,6.458,7.1312,6.8074
PFN3,-9.9658,-2.7274,-4.6082,-3.1714
PFN4,0.3685,-0.7834,-0.9132,-0.1345
PGAM5,5.2021,4.6525,4.6832,3.9337
PGF,3.3134,0.9268,0.0158,-1.2142
PGK1,10.471,7.4663,8.1021,8.9018
PGK2,-9.9658,-9.9658,-5.0116,-4.035
PGR,-4.035,-0.2328,-1.685,-2.6349
PHKA1,0.058,-0.1828,2.7615,1.1382
PHKA2,2.9637,3.0961,3.4197,3.3591
PHKB,3.8788,3.1294,3.2189,4.2906
PHKG1,-1.0559,0.03,-0.5973,-0.394
PHKG2,4.3191,4.861,5.0304,4.9727
PHLPP1,-0.6193,0.2762,1.642,0.6239
PHLPP2,-0.3383,0.044,-0.0877,1.196
PIAS1,4.1327,3.8993,3.3563,4.1119
PIAS2,3.3379,1.9968,4.2442,4.0662
PIAS3,4.3177,5.3737,4.8505,4.2243
PIAS4,3.3925,3.1062,3.6382,3.7888
PIDD1,2.6805,2.8994,1.9749,3.9099
PIK3AP1,2.376,1.3109,2.0979,0.8082
PIK3C3,3.5875,3.5022,4.5497,4.443
PIK3CA,2.1988,2.4386,2.328,0.8961
PIK3CB,4.0584,2.8936,3.1491,3.8177
PIK3CD,1.6327,2.2206,2.8994,2.081
PIK3CG,-0.0877,-1.2142,-0.0877,-0.1828
PIK3R1,1.2516,3.6382,4.5386,3.0181
PIK3R2,-2.6717,-2.1454,-1.9607,-2.4622
PIK3R3,-4.4237,-0.3897999999999997,-2.4064,-2.7258
PIK3R4,4.4926,3.7699,3.9755,4.1094
PIK3R5,0.8408,0.2522,0.605,0.537
PIK3R6,-1.5105,-1.0262,-0.9406,-1.4305
PIM1,2.676,5.332,2.0147,3.0217
PIN1,6.1605,4.9383,5.36,5.1807
PITX2,-9.9658,-3.6259,-6.5064,-5.5735
PKLR,-6.5064,-6.5064,-5.5735,-9.9658
PKM,9.8294,9.0055,9.8586,9.4799
PKN1,7.3337,5.5814,8.1979,5.9194
PKN2,2.8301,3.0074,2.8701,2.9544
PKN3,1.884,1.1447,0.605,1.2455
PLA1A,-1.4305,-0.1504,-1.7322,-3.3076
PLA2G10,2.236,-5.0116,0.1388,-1.2481
PLA2G12A,4.9175,4.3046,4.7613,5.523
PLA2G12B,-9.9658,-4.6082,-9.9658,-5.5735
PLA2G1B,-1.7809,-2.3884,-3.6259,-3.3076
PLA2G2A,-2.3884,4.2495,2.8858,0.8883
PLA2G2C,-3.816,-9.9658,-4.6082,-3.458
PLA2G2D,-0.4921,-2.4659,-2.2447,-6.5064
PLA2G2E,-9.9658,-9.9658,-9.9658,-9.9658
PLA2G2F,-6.5064,-9.9658,-9.9658,-9.9658
PLA2G3,-2.114,-2.3147,-2.3147,-9.9658
PLA2G4A,3.7867,2.7615,3.5657,1.692
PLA2G4B,-0.1665,3.011,-0.6193,1.8564
PLA2G4C,2.4063,0.044,2.2813,-0.3752
PLA2G4D,-6.5064,-4.6082,-4.6082,-4.2934
PLA2G4E,-6.5064,-9.9658,-9.9658,-4.035
PLA2G4F,-3.1714,-6.5064,-0.1504,-1.4699
PLA2G5,-1.7322,0.1257,-0.6416,-4.6082
PLA2G6,1.1316,4.5928,3.5098,3.4304
PLAAT3,0.0,0.0,0.0,0.0
PLAT,6.5206,6.7462,6.0056,3.0859
PLAU,4.5503,4.6854,3.8954,4.0162
PLCB1,0.9343,2.8622,2.0218,1.9377
PLCB2,1.9931,1.8604,1.4281,2.4279
PLCB3,3.833,2.8897,2.1766,3.2205
PLCB4,0.3685,2.0111,1.4335,2.1444
PLCD1,2.8916,3.6509,4.773,1.2394
PLCD3,7.4789,6.3711,8.3663,6.3098
PLCD4,-1.3183,-0.7346,1.1117,-1.685
PLCE1,0.2522,1.1641,-0.7834,2.1734
PLCG1,3.4061,5.2404,4.2758,4.2404
PLCG2,0.6425,1.3167,1.7141,1.674
PLCZ1,-9.9658,-9.9658,-9.9658,-9.9658
PLD1,1.7828,2.2051,0.9115,0.1648
PLD2,2.0183,3.5498,2.2421,3.1669
PLIN1,-1.5951,2.5876,-0.3022,-2.2447
PLIN2,5.1198,4.0645,6.6565,3.4277
PLIN4,-1.6394,2.3048,-0.7834,0.3907
PLIN5,0.0158,-1.6394,-0.7834,0.3573
PLK1,5.0202,4.8753,4.8151,4.01
PLK2,2.0254,4.8699,1.692,5.597
PLK3,3.034,3.7762,2.2603,3.4713
PLK4,1.3901,1.7954,2.05,1.0915
PLN,-0.4719,1.3956,-1.8314,-4.6082
PLTP,6.8253,6.6316,7.3917,5.4209
PMAIP1,2.5011,0.5271,1.3454,-0.1993
POMC,-0.6873,0.4016,-1.6394,-2.6349
PORCN,2.9655,3.2389,3.3911,3.2973
POU5F1,0.7321,0.0158,2.4252,1.7273
